Country Name,Country Code,Capital City,Longitude,Latitude,Coordinates,,,,
Lao PDR,LAO,Vientiane,17.96666667,102.6,"17.9666666666666, 102.6",COUNTRY,,,
Lebanon,LBN,Beirut,33.86666667,35.5,"33.8666666666666, 35.5",COUNTRY,,,
Liberia,LBR,Monrovia,6.3,-10.8,"6.3, -10.8",COUNTRY,,,
Libya,LBY,Tripoli,32.88333333,13.166667,"32.8833333333333, 13.166667",COUNTRY,,,
St. Lucia,LCA,Castries,14,-61,"14, -61",COUNTRY,,,
Latin America & Caribbean,LCN,,,,", ",REGION,,,
Liechtenstein,LIE,Vaduz,47.13333333,9.516667,"47.1333333333333, 9.516667",COUNTRY,,,
Sri Lanka,LKA,Colombo,6.916666667,79.833333,"6.91666666666666, 79.833333",COUNTRY,,,
Lesotho,LSO,Maseru,-29.31666667,27.483333,"-29.3166666666666, 27.483333",COUNTRY,,,
Lithuania,LTU,Vilnius,54.68333333,25.316667,"54.6833333333333, 25.316667",COUNTRY,,,
Luxembourg,LUX,Luxembourg,49.6,6.116667,"49.6, 6.116667",COUNTRY,,,
Latvia,LVA,Riga,56.95,24.1,"56.95, 24.1",COUNTRY,,,
"Macao SAR, China",MAC,Macao,22.1987,113.5439,"22.1987, 113.5439",COUNTRY,,,
St. Martin (French part),MAF,Marigot,18.0731,-63.0822,"18.0731, -63.0822",COUNTRY,,,
Morocco,MAR,Rabat,34.01666667,-6.816667,"34.0166666666666, -6.816667",COUNTRY,,,
Monaco,MCO,Monaco,43.73333333,7.416667,"43.7333333333333, 7.416667",COUNTRY,,,
Moldova,MDA,Chisinau,47,28.85,"47, 28.85",COUNTRY,,,
Madagascar,MDG,Antananarivo,-18.91666667,47.516667,"-18.9166666666666, 47.516667",COUNTRY,,,
Maldives,MDV,Male,4.166666667,73.5,"4.16666666666666, 73.5",COUNTRY,,,
Mexico,MEX,Mexico City,19.43333333,-99.133333,"19.4333333333333, -99.133333",COUNTRY,,,
Marshall Islands,MHL,Majuro,7.1,171.383333,"7.1, 171.383333",COUNTRY,,,
North Macedonia,MKD,Skopje,42,21.433333,"42, 21.433333",COUNTRY,,,
Mali,MLI,Bamako,12.65,-8,"12.65, -8",COUNTRY,,,
Malta,MLT,Valletta,35.88333333,14.5,"35.8833333333333, 14.5",COUNTRY,,,
Myanmar,MMR,Rangoon,16.8,96.15,"16.8, 96.15",COUNTRY,,,
Montenegro,MNE,Podgorica,42.43333333,19.266667,"42.4333333333333, 19.266667",COUNTRY,,,
Mongolia,MNG,Ulaanbaatar,47.91666667,106.916667,"47.9166666666666, 106.916667",COUNTRY,,,
